geoid,black,native,asian,PI,other,multi,hispanic,nonwhite,white,total,pct_nonwhite,pct_white,race_source_abbreviation,link_to_detailed_sourcing
4.81E+14,0,0,0,0,0,0,4,4,294,298,1.342281879,98.65771812,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/480990102012001/
4.81E+14,93,0,0,0,40,1,158,292,228,520,56.15384615,43.84615385,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/480990102012003/
4.81E+14,92,5,2,0,0,1,4,104,66,170,61.17647059,38.82352941,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/480990102012005/
4.81E+14,80,0,0,0,0,0,2,82,134,216,37.96296296,62.03703704,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/480990102012006/
4.81E+14,241,1,3,0,29,6,78,358,530,888,40.31531532,59.68468468,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/480990102012013/
4.81E+14,1,2,0,0,28,0,66,97,0,97,100,0,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/480990103001019/
4.81E+14,223,1,0,0,26,0,85,335,132,467,71.73447537,28.26552463,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/480990103001023/
4.81E+14,24,0,1,0,0,0,8,33,51,84,39.28571429,60.71428571,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/480990103001051/
4.81E+14,3,0,0,0,0,0,9,12,8,20,60,40,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/481039501002000/
4.81E+14,1,0,0,0,0,0,6,7,1,8,87.5,12.5,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/481079501003024/
4.81E+14,0,0,0,0,1,4,8,13,2,15,86.66666667,13.33333333,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/481099503004201/
4.81E+14,1,0,0,0,24,0,25,50,12,62,80.64516129,19.35483871,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/481119503002007/
4.81E+14,9,0,0,0,0,0,3,12,2,14,85.71428571,14.28571429,tract,http://www.prisonersofthecensus.org/data/2010blocks/481130031012039/
4.81E+14,3237,0,24,0,17,6,1206,4490,1899,6389,70.27703866,29.72296134,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/481130100001208/
4.81E+14,1,0,0,0,0,0,0,1,0,1,100,0,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/481130100001209/
4.81E+14,920,5,6,0,1,2,385,1319,896,2215,59.54853273,40.45146727,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/481130100001226/
4.81E+14,0,0,0,0,0,0,0,0,5,5,0,100,tract,http://www.prisonersofthecensus.org/data/2010blocks/481130190192008/
4.81E+14,0,0,0,0,0,0,0,0,2,2,0,100,tract,http://www.prisonersofthecensus.org/data/2010blocks/481130203002013/
4.81E+14,2,0,1,0,0,0,9,12,4,16,75,25,tract,http://www.prisonersofthecensus.org/data/2010blocks/481130191002018/
4.81E+14,1,0,0,0,0,0,0,1,0,1,100,0,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/481130181331027/
4.81E+14,388,67,26,2,139,40,471,1133,825,1958,57.86516854,42.13483146,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/481130170012009/
4.81E+14,68,1,3,0,43,10,129,254,52,306,83.00653595,16.99346405,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/481130170012010/
4.81E+14,883,9,10,1,123,23,483,1532,663,2195,69.79498861,30.20501139,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/481130169021016/
4.81E+14,59,1,0,0,0,1,30,91,51,142,64.08450704,35.91549296,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/481130169022011/
4.81E+14,134,5,1,0,43,7,66,256,141,397,64.4836272,35.5163728,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/481130169033012/
